word,entity
España,LOC
Ya,LOC
México,LOC
Navarra,LOC
Canarias,LOC
Irlanda,LOC
Unidos,LOC
Li,LOC
Manuel,LOC
Honduras,LOC
Honduras,LOC
España,LOC
Valencia,LOC
Madrid,LOC
Chile,LOC
Chile,LOC
Argentina,LOC
Colombia,LOC
Perú,LOC
España,LOC
Eh,LOC
Ucrania,LOC
Arena,LOC
Madrid,LOC
Alicante,LOC
Adrian,PER
María,PER
Rin,PER
Elena,PER
Vigo,PER
Marcelo,PER
María,PER
los,PER
Eric,PER
Eric,PER
Tro,PER
María,PER
Mar,PER
Alex,PER
María,PER
Laura,PER
Manuel,PER
Paula,PER
Octa,PER
Paula,PER
María,PER
Roberto,PER
Mario,PER
María,PER
Montaña,PER
Tama,PER
Manuel,PER
Elena,PER
Santiago,PER
Cristina,PER
Esther,PER
Luis,PER
Luis,PER
Marta,PER
Laura,PER
Internacional,PER
Francisco,PER
Francisco,PER
David,PER
Patricia,PER
Víctor,PER
Sofía,PER
Sofía,PER
Mónica,PER
Alex,PER
Marta,PER
María,PER
Isabel,PER
Samuel,PER
Samuel,PER
Samuel,PER
Manuel,PER
Elena,PER
Vigo,PER
Manuel,PER
Alej,PER
Elena,PER
María,PER
David,PER
Mar,PER
Marcos,PER
Patric,PER
Cristina,PER
Elena,PER
Martin,PER
Lucas,PER
Pablo,PER
Lucía,PER
Patricia,PER
María,PER
Monta,PER
Carla,PER
Belén,PER
María,PER
María,PER
Ana,PER
Rosa,PER
Sandra,PER
Sandra,PER
Paula,PER
Sandra,PER
Sandra,PER
Pérez,PER
Sandra,PER
Mic,PER
Antonio,PER
Marie,PER
Mónica,PER
Carmen,PER
Carmen,PER
Mónica,PER
Catalina,PER
Lydia,PER
Sil,PER
Vigo,PER
Alex,PER
Alex,PER
Chel,PER
Antonio,PER
Pablo,PER
Pablo,PER
Dia,PER
Fe,PER
Lou,PER
Gali,PER
Tel,PER
María,PER
Carmen,PER
Carmen,PER
Chel,PER
Laura,PER
Marta,PER
Carmen,PER
Calla,PER
Esta,PER
Sandra,PER
Isabel,PER
Manuel,PER
Blanca,PER
Sara,PER
Mancha,PER
Claudia,PER
1,PER
Claudia,PER
Sil,PER
Paula,PER
Sil,PER
Rosario,PER
Rosario,PER
María,PER
Tama,PER
Hernández,PER
Francisco,PER
Ramón,PER
Mariano,PER
González,PER
González,PER
Mariano,PER
Ana,PER
Ana,PER
Isabel,PER
Isabel,PER
Isabel,PER
Noel,PER
Esther,PER
Manuel,PER
Mich,PER
Brit,PER
Sara,PER
Corre,PER
Sheila,PER
montaña,PER
Sam,PER
Hern,PER
Luis,PER
Bruno,PER
Bruno,PER
Manuel,PER
Manuel,PER
Manuel,PER
María,PER
Alan,PER
Isabel,PER
María,PER
Isabel,PER
Maris,PER
Dim,PER
Alba,PER
Luis,PER
Antonio,PER
María,PER
Montserrat,PER
Elena,PER
Rosa,PER
Carolina,PER
Marge,PER
Ana,PER
María,PER
Ana,PER
María,PER
Pablo,PER
Clar,PER
María,PER
Ana,PER
Universidad Internacional,ORG
Universidad Internacional Valencia,ORG
Internacional Valencia,ORG
Valencia,ORG
BOE,ORG
Asociación Enferme Comun,ORG
Universidad Internacional Valencia,ORG
Banco Sabadell Universidad,ORG
Ministerio Educación,ORG
BOE,ORG
BOE,ORG
Internacional,ORG
Universidad Internacional Valencia,ORG
Ministerio Educación,ORG
BOE,ORG
Universidad Internacional Valencia,ORG
LO,ORG
Universidad Nacional Valencia,ORG
Admi,ORG
Ministerio Educación,ORG
Universidad Internacional Valencia,ORG
Universidad Internacional Valencia,ORG
administración,ORG
Universidad Internacional Valencia,ORG
Centro Lengua,ORG
Ministerio Educación,ORG
Universidad Nacional Valencia,ORG
Sabadell,ORG
Universidad Internacional Valencia,ORG
Universidad Internacional Valencia,ORG
Ministerio,ORG
Universidad Internacional Valencia,ORG
Universidad,ORG
Internacional,ORG
Valencia,ORG
Universidad,ORG
Universidad Internacional Valencia,ORG
Grupo Planeta,ORG
Universidad Internacional Valencia,ORG
Coordinación,ORG
Ministerio Educación,ORG
Colegio Oficial Psico,ORG
Cruz Roja Fundación,ORG
Ministerio Educación,ORG
Ministerio,ORG
Facultad Salud la Universidad AB,ORG
Clar,ORG
BOE,ORG
Grupo Planeta,ORG
